school_long,school_lat,osm_id,school_name
13.03065338,55.60243878,36998984,Rönnenskolan
15.42327481,62.75063646,37575727,Bräcke skola
13.43154765,59.43406254,37697950,Skåreskolan
17.95129914,62.63571615,37745062,Härnösands gymnasium
16.35799657,56.70209698,37803646,Kalmarsundsskolan
17.95076901,62.63227963,37831297,Kastellskolan
17.94982185,62.63049965,37853822,Maskinhallen
15.60639844,58.40460932,38160379,Fridtunaskolan
17.90398928,59.39716663,38490639,Elingsborgsskolan
17.27958279,62.39518712,38625898,Västermalms skola
17.92607959,62.64385539,38664947,Murbergskolan
17.93193092,62.64258962,38665033,Härnösands Folkhögskola
18.07792269,59.510055,38667403,Bällstabergsskolan
15.56566706,58.41056599,38731651,Nya Rydsskolan
18.06618836,59.510837,38753018,Skrattegi Kragstalund
12.00326601,57.65935791,38915549,Bosgårdsskolan
17.8532152,59.37189611,39087360,Vinstagårdsskolan
17.8904503,59.45899273,39271224,Rälsen Viby
13.16219548,55.70949392,39301308,Fågelskolan
17.94292493,59.39956453,39425392,Fröhuset
17.94215824,59.39923002,39425393,Sverigefinska skolan
16.69880918,57.90568134,39440301,Loftahammars skola
17.90362345,59.46214585,39654019,Skogsdungen
18.08573029,59.28328189,39654635,Enskedeskolan
14.32681254,56.40182518,39673863,Örkenedsskolan
14.64285729,63.17872597,39763658,Jämtlands Gymnasium
17.79758111,62.92765066,39825388,Skarpåkersskolan
18.01264629,59.33214099,39839741,Thorildsplans gymnasium
18.11799004,59.31381204,39839765,Vilans skola och förskola
18.07694515,59.29968858,39934379,Värmdö gymnasium
18.08074978,59.52543696,39972653,Karlbergsskolan
14.65820191,63.16504218,40033472,Fagervallsskolan
11.98591926,57.70377148,40496496,Katrinelundsgymnasiet
18.07008125,59.30000186,40522897,Skanskvarnsskolan
17.29833657,62.38826218,40608517,Gustav Adolfskolan
17.78563087,62.92959478,40747629,Gudmundråskolan
17.9907585,59.24075572,40848539,Tomtbergaskolan
18.07418508,59.28662608,40874367,Enskede gårds gymnasium
17.92854,59.2727603,40902175,Pysslingen
17.92284125,62.62466506,41043020,Kiörningsskolan
17.92111353,62.62599791,41043021,Solenskolan
11.89464185,57.73674806,41191413,Landamäreskolan
13.20504362,55.64472847,41199215,Anneroskolan
14.64348105,61.11322754,41279468,Bergetskolan
17.89267697,62.64588,41309872,Bondsjöhöjdens skola
14.67922224,61.1327448,41415515,Stackmora Skola
14.67841413,61.1327271,41415520,Stackmora Skola
14.70584867,63.15389673,41438841,Storsjöskolan
18.0796572,59.52890411,41554908,Hjälmstaskolan
14.72473477,63.15004812,41614544,Fjällängsskolan
16.03808485,62.49135315,41671669,Ljungaskolan
18.0834188,59.53652575,41676850,Tunaskolan
18.27554965,59.65373883,41844289,Kårstaskolan
18.07434811,59.51033608,41844422,Vallentuna Vittra
17.31085417,62.38307057,41874772,Höglundaskolan
18.05559506,59.33781301,41948434,Enskilda gymnasiet
13.15596784,58.48995146,41961275,Lidåkersskolan
17.96680425,59.38138024,42301770,Ursviks skola
17.98621057,59.32118137,42374761,Lycée Français Stockholm
16.33020541,62.47371226,42701523,Torpshammars skola
17.98589832,59.32099143,42760571,Essingeskolan
14.62305668,61.12679326,42835186,Orsa Skolan
14.6226882,61.12642465,42835187,Orsa Skolan
18.03115449,59.30471588,42885927,Sjöviksskolan
17.95763926,59.32541684,42928365,Ålstensskolan
17.96077546,59.33146446,43025521,Bromma gymnasium
17.91847773,59.37801271,43041609,Ellen Keyskolan
14.6702991,63.18388233,43343797,Friggaskolan
17.22616223,59.26163203,43377732,Mariefreds skola
17.80931873,59.18265995,44383078,Broängsskolan
18.15299055,59.36789325,44488152,Kvarnskolan
